Name,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1994-95 Boston Celtics,241.5,38.8,83.5,.464,4.4,12.0,.368,34.4,71.5,.480,20.8,27.7,.753,14.1,28.3,42.4,21.7,7.5,4.4,15.9,24.1,102.8
1993-94 Boston Celtics,242.7,40.6,86.1,.472,1.7,5.8,.289,39.0,80.2,.486,17.8,24.4,.730,12.6,29.0,41.7,23.5,8.2,5.4,15.1,22.5,100.8
1992-93 Boston Celtics,241.2,42.1,86.5,.487,1.3,4.7,.287,40.8,81.8,.498,18.1,23.3,.777,13.1,29.7,42.8,24.4,7.9,5.6,14.3,22.7,103.7
1991-92 Boston Celtics,241.2,43.2,87.8,.492,1.3,4.4,.306,41.9,83.4,.502,18.9,23.4,.808,13.4,31.5,44.9,25.3,7.8,5.9,14.2,20.6,106.6
1990-91 Boston Celtics,241.5,45.1,88.0,.512,1.3,4.2,.315,43.7,83.8,.522,20.1,24.4,.824,13.3,32.9,46.2,26.3,8.2,6.9,16.1,20.7,111.5
1989-90 Boston Celtics,240.3,43.5,87.2,.498,1.3,4.9,.262,42.2,82.2,.513,21.8,26.3,.832,13.0,33.0,46.0,29.5,6.6,5.5,15.3,20.9,110.0
1988-89 Boston Celtics,241.2,42.9,87.1,.493,1.0,3.8,.252,42.0,83.3,.504,22.4,28.6,.783,14.4,29.8,44.2,26.7,7.8,5.1,16.3,22.9,109.2
1987-88 Boston Celtics,241.2,43.9,84.2,.521,3.3,8.6,.384,40.6,75.6,.537,22.5,28.0,.803,11.3,29.8,41.1,29.9,7.6,5.1,15.9,22.0,113.6
1986-87 Boston Celtics,241.5,44.5,86.0,.517,2.5,6.9,.366,41.9,79.1,.530,21.2,26.3,.808,11.4,31.5,42.9,29.5,6.8,6.4,15.9,20.9,112.6
1985-86 Boston Celtics,242.1,45.3,89.2,.508,1.7,4.8,.351,43.7,84.4,.517,21.8,27.4,.794,12.9,33.6,46.4,29.1,7.8,6.2,16.6,21.4,114.1
1984-85 Boston Celtics,240.3,45.4,89.3,.508,1.3,3.8,.356,44.0,85.6,.515,22.7,28.1,.806,13.6,32.1,45.7,27.9,7.9,5.0,16.2,21.7,114.8
1983-84 Boston Celtics,243.4,44.1,88.2,.500,0.7,2.8,.240,43.4,85.4,.508,23.3,29.4,.792,14.1,31.0,45.1,25.9,8.2,5.2,17.3,23.8,112.1
1982-83 Boston Celtics,241.8,45.3,92.0,.492,0.5,2.3,.210,44.8,89.8,.499,21.1,28.6,.737,15.5,30.9,46.4,27.0,9.6,6.4,18.8,25.1,112.1
1981-82 Boston Celtics,241.2,44.6,89.4,.499,0.6,2.2,.266,44.0,87.2,.505,22.2,30.0,.740,15.3,30.4,45.6,25.9,8.0,6.9,17.7,24.6,112.0
1980-81 Boston Celtics,241.2,43.7,86.6,.504,0.8,2.9,.270,42.9,83.6,.513,21.7,28.9,.752,14.1,29.6,43.6,26.9,8.3,7.2,19.2,24.3,109.9
1979-80 Boston Celtics,242.4,44.1,90.1,.490,2.0,5.1,.384,42.1,84.9,.496,23.3,29.9,.779,15.0,30.0,44.9,26.8,9.9,3.8,18.8,24.1,113.5
