Name,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2023-24 Cleveland Cavaliers,241.5,41.8,87.2,.479,13.5,36.8,.367,28.3,50.4,.561,15.6,20.4,.765,9.8,33.4,43.3,28.0,7.4,4.6,13.6,17.5,112.6
2022-23 Cleveland Cavaliers,242.4,41.6,85.2,.488,11.6,31.6,.367,30.0,53.6,.559,17.5,22.5,.780,9.7,31.4,41.1,24.9,7.1,4.7,13.3,19.0,112.3
2021-22 Cleveland Cavaliers,240.6,39.7,84.6,.469,11.6,32.8,.355,28.1,51.9,.541,16.8,22.1,.760,10.2,34.0,44.2,25.2,7.1,4.2,14.4,17.5,107.8
2020-21 Cleveland Cavaliers,242.1,38.6,85.8,.450,10.0,29.7,.336,28.6,56.0,.510,16.7,22.4,.743,10.4,32.3,42.8,23.8,7.8,4.5,15.5,18.2,103.8
2019-20 Cleveland Cavaliers,241.9,40.3,87.9,.458,11.2,31.8,.351,29.1,56.1,.519,15.1,19.9,.758,10.8,33.4,44.2,23.1,6.9,3.2,16.5,18.3,106.9
2018-19 Cleveland Cavaliers,240.9,38.9,87.6,.444,10.3,29.1,.355,28.6,58.5,.488,16.4,20.7,.792,10.7,31.9,42.7,20.7,6.5,2.4,13.5,20.0,104.5
2017-18 Cleveland Cavaliers,240.6,40.4,84.8,.476,12.0,32.1,.372,28.4,52.6,.540,18.1,23.3,.779,8.5,33.7,42.1,23.4,7.1,3.8,13.7,18.6,110.9
2016-17 Cleveland Cavaliers,242.4,39.9,84.9,.470,13.0,33.9,.384,26.9,51.0,.528,17.5,23.3,.748,9.3,34.4,43.7,22.7,6.6,4.0,13.7,18.1,110.3
2015-16 Cleveland Cavaliers,242.1,38.7,84.0,.460,10.7,29.6,.362,27.9,54.4,.514,16.3,21.7,.748,10.6,33.9,44.5,22.7,6.7,3.9,13.6,20.3,104.3
2014-15 Cleveland Cavaliers,241.2,37.7,82.2,.458,10.1,27.5,.367,27.6,54.7,.504,17.7,23.6,.751,11.1,31.9,43.0,22.1,7.4,4.1,14.3,18.4,103.1
2013-14 Cleveland Cavaliers,243.0,37.0,84.8,.437,7.1,20.0,.356,29.9,64.8,.461,17.0,22.7,.751,12.1,32.1,44.1,21.2,7.1,3.7,14.2,20.0,98.2
2012-13 Cleveland Cavaliers,240.6,36.5,84.2,.434,6.7,19.3,.346,29.8,64.9,.460,16.8,22.3,.756,12.2,28.8,41.0,20.7,7.9,4.1,14.0,21.2,96.5
2011-12 Cleveland Cavaliers,241.9,34.3,81.2,.422,6.7,19.3,.346,27.6,61.9,.446,17.8,24.9,.716,12.7,29.5,42.3,19.8,7.1,4.0,15.4,20.0,93.0
2010-11 Cleveland Cavaliers,240.9,35.2,81.1,.434,6.2,18.2,.342,29.0,62.9,.461,18.9,25.3,.745,10.4,29.9,40.3,21.0,6.6,4.2,14.2,20.1,95.5
