,2023 PPG,2023 OPP PPG,2023 DIFF,Overall Record,Playoff Appearances,Championships,2023 ORTG,2023 DRtg,2023 FG%,2023 2P%,2023 3P%,2023 FT%,2023 APG,2023 TOV,2023 OPP FG%,2023 OPP 3P%,2023 SPG,2023 BPG,2023 ORB,2023 DRB,2023 TS%,2023 EFG%,2023 Pace,2023 Longest Win Streak,2023 Longest Losing Streak,Clutch Games Won,Clutch Games Lost,Clutch games Win%,Clutch Games Played
Boston Celtics,120.6,109.2,11.4,0.594,61,18,123.2,111.6,0.487,0.575,0.388,0.807,26.9,11.9,0.45,0.352,6.8,6.6,10.7,35.6,0.609,0.578,97.2,11,2,21,12,0.636363636,33
New York Knicks,112.8,108.2,4.6,0.487,45,2,118.2,113.4,0.465,0.531,0.369,0.78,24.4,13.2,0.47,0.365,7.5,4.1,12.7,32.5,0.574,0.54,95.2,9,4,17,16,0.515151515,33
Milwaukee Bucks,119,116.4,2.6,0.528,36,2,118.4,115.8,0.487,0.574,0.373,0.774,26.5,12.9,0.47,0.356,6.8,5,9.4,34.8,0.601,0.568,99.9,7,4,23,17,0.575,40
Cleveland Cavaliers,112.6,110.2,2.4,0.467,24,1,115.2,112.7,0.479,0.561,0.367,0.765,28,13.6,0.463,0.371,7.4,4.6,9.8,33.4,0.586,0.557,97.2,9,3,20,22,0.476190476,42
Orlando Magic,110.5,108.5,2,0.469,17,0,113.4,111.3,0.476,0.549,0.352,0.759,24.7,14.7,0.474,0.358,8.2,5.2,10.5,31.8,0.577,0.541,96.9,9,4,21,14,0.6,35
Indiana Pacers,123.3,120,3.3,0.499,37,0,121,118,0.507,0.589,0.374,0.782,30.8,12.9,0.496,0.365,7.7,5.9,10.1,31.4,0.606,0.578,101.7,6,4,18,19,0.486486486,37
Philadelphia 76ers,114.6,11.5,103.1,0.522,54,3,116.9,113.8,0.464,0.525,0.363,0.826,24.9,12,0.468,0.354,8.5,6,11,31.9,0.574,0.532,97.5,8,4,18,18,0.5,36
Miami Heat,110.1,108.4,1.7,0.527,25,3,114,112.2,0.465,0.527,0.37,0.818,25.8,12.7,0.467,0.353,7.5,3.4,9.3,33,0.578,0.538,96.2,7,7,22,20,0.523809524,42
Chicago Bulls,112.3,113.7,-1.4,0.509,36,6,114.9,116.3,0.47,0.532,0.358,0.791,25,12.2,0.473,0.37,7.8,4.8,11.2,32.6,0.568,0.534,96.3,4,5,27,17,0.613636364,44
Atlanta Hawks,118.3,120.5,-2.2,0.493,49,1,117.2,119.4,0.465,0.535,0.364,0.797,26.6,13.5,0.495,0.384,7.5,4.5,12.5,32.3,0.576,0.539,100.1,4,6,21,26,0.446808511,47
Brooklyn Nets,110.4,113.3,-2.9,0.44,31,2,113.2,116.1,0.456,0.522,0.362,0.756,25.6,13.1,0.47,0.372,6.8,5.2,11.4,32.6,0.561,0.531,96.9,3,6,15,20,0.428571429,35
Toronto Raptors,112.4,118.8,-6.4,0.474,13,1,112.3,118.8,0.471,0.543,0.347,0.756,28.5,14,0.491,0.376,7.7,4.7,10.9,31.8,0.566,0.535,99.4,3,15,17,25,0.404761905,42
Charlotte Hornets,106.6,116.8,-10.2,0.433,10,0,109.3,119.8,0.46,0.528,0.355,0.786,24.8,13.8,0.494,0.377,6.9,4.5,9.3,31,0.56,0.529,97.3,3,11,15,20,0.428571429,35
Washington Wizards,113.7,123,-9.3,0.447,30,1,110.5,119.6,0.47,0.548,0.348,0.764,27.9,14,0.496,0.362,7.6,5.1,9.2,31.9,0.567,0.538,102.7,3,16,9,28,0.243243243,37
Detroin Pistons,109.9,119,-9.1,0.471,42,3,109.7,118.8,0.463,0.528,0.348,0.785,25.5,15.2,0.49,0.37,6.5,4.7,10.5,32.8,0.562,0.526,99.8,2,28,8,27,0.228571429,35
