Name,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2006-07 Portland Trail Blazers,243.4,35.0,78.0,0.45,5.2,15.0,0.346,29.9,62.9,0.474,18.8,24.5,0.769,11.3,28.0,39.3,18.5,6.8,4.6,15.1,23.5,94.1
2005-06 Portland Trail Blazers,240.6,34.0,76.4,0.445,4.4,12.7,0.349,29.6,63.7,0.464,16.3,23.7,0.689,10.8,26.9,37.7,18.2,6.5,5.3,14.7,22.3,88.8
2004-05 Portland Trail Blazers,240.6,35.3,78.3,0.451,5.1,14.2,0.362,30.2,64.2,0.471,17.2,23.7,0.725,11.8,29.3,41.1,21.0,7.1,6.6,16.0,20.8,92.9
2003-04 Portland Trail Blazers,243.7,35.3,78.9,0.448,4.6,13.4,0.346,30.7,65.4,0.469,15.4,21.1,0.731,12.7,29.0,41.7,21.6,7.5,5.4,14.8,19.0,90.7
2002-03 Portland Trail Blazers,242.1,36.4,79.2,0.46,4.6,14.0,0.33,31.8,65.1,0.488,17.7,23.7,0.745,12.1,29.0,41.1,22.7,8.8,3.9,15.2,19.9,95.2
2001-02 Portland Trail Blazers,241.8,36.6,81.4,0.45,5.7,16.1,0.354,31.0,65.3,0.474,17.7,23.2,0.763,13.2,29.8,43.0,23.5,8.6,4.5,14.3,19.7,96.6
2000-01 Portland Trail Blazers,241.2,36.6,78.3,0.468,4.5,12.9,0.349,32.1,65.4,0.492,17.6,23.2,0.762,11.7,30.3,42.0,23.9,8.2,5.1,15.3,21.3,95.4
1999-00 Portland Trail Blazers,241.2,36.8,78.4,0.47,5.0,13.8,0.361,31.9,64.7,0.493,18.8,24.7,0.76,11.8,31.2,43.0,23.5,7.7,4.8,15.2,22.7,97.5
1998-99 Portland Trail Blazers,243.5,34.9,79.1,0.442,4.9,13.5,0.364,30.0,65.6,0.457,20.0,27.0,0.743,12.9,31.4,44.3,21.5,8.2,5.8,15.4,22.5,94.8
1997-98 Portland Trail Blazers,241.8,35.2,78.0,0.451,4.0,12.8,0.309,31.2,65.2,0.479,20.0,27.1,0.737,13.2,30.8,44.0,21.5,7.1,5.7,16.9,22.7,94.3
