Name,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1984-85 Kansas City Kings,240.9,44.7,88.7,.504,0.8,2.9,.265,43.9,85.8,.512,24.7,31.6,.779,14.2,28.4,42.6,28.6,8.1,3.7,19.4,26.5,114.8
1983-84 Kansas City Kings,240.9,42.9,88.2,.486,0.6,2.3,.275,42.2,85.9,.492,23.6,30.4,.777,14.0,27.7,41.7,27.2,8.7,4.7,18.3,26.8,110.0
1982-83 Kansas City Kings,241.2,45.4,91.3,.497,0.6,2.6,.237,44.7,88.7,.505,22.4,30.9,.727,15.3,29.4,44.7,26.3,9.3,5.0,20.6,29.7,113.8
1981-82 Kansas City Kings,242.4,44.0,88.8,.495,0.3,1.6,.200,43.6,87.2,.500,18.9,26.3,.719,13.2,27.8,41.0,25.1,9.1,4.9,18.4,28.8,107.1
1980-81 Kansas City Kings,241.8,43.6,87.2,.500,0.6,2.0,.292,43.0,85.2,.505,19.2,26.9,.714,12.6,29.9,42.5,27.7,8.8,4.7,17.7,25.5,106.9
1979-80 Kansas City Kings,241.5,43.7,91.3,.478,0.3,1.4,.219,43.4,89.9,.482,20.4,27.4,.743,14.5,29.6,44.1,25.9,10.5,4.3,17.5,26.0,108.0
