Name,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2000-01 Vancouver Grizzlies,241.2,35.0,79.7,.439,4.0,11.5,.343,31.0,68.2,.455,17.8,23.1,.770,10.9,29.6,40.5,23.2,7.1,4.4,15.7,21.1,91.7
1999-00 Vancouver Grizzlies,242.1,35.3,78.5,.449,4.0,11.0,.361,31.3,67.6,.463,19.4,25.1,.774,12.3,28.3,40.6,20.7,7.4,4.2,16.8,22.9,93.9
1998-99 Vancouver Grizzlies,243.5,32.9,76.8,.428,3.0,9.1,.327,29.9,67.7,.442,20.2,28.2,.717,13.0,27.2,40.2,19.3,8.4,4.0,17.0,22.5,88.9
1997-98 Vancouver Grizzlies,241.8,36.7,80.1,.458,4.0,11.0,.362,32.7,69.1,.473,19.3,26.2,.739,13.2,28.2,41.4,23.9,7.5,4.3,17.1,22.1,96.6
1996-97 Vancouver Grizzlies,241.2,34.4,78.7,.437,5.4,15.5,.349,29.0,63.2,.458,15.0,21.1,.709,12.5,26.3,38.8,22.7,8.0,5.7,15.9,21.4,89.2
1995-96 Vancouver Grizzlies,242.4,33.8,79.1,.428,4.5,13.8,.329,29.3,65.3,.448,17.6,24.4,.724,11.7,26.5,38.1,20.8,8.9,4.1,16.4,22.6,89.8
